STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1631104239|1631104262|23000|2021/09/08:18:00:39|2021/09/08:18:01:02|0h 0m 23s|dataGen_refresh|run_query|0|SUCCESS|0
1631104265|1631104274|9000|2021/09/08:18:01:05|2021/09/08:18:01:14|0h 0m 9s|Load data|1|Load data|0|FAILED|64||
1631107326|1631107380|54000|2021/09/08:18:52:06|2021/09/08:18:53:00|0h 0m 54s|dataGen_base|1|run_query|0|SUCCESS|0||
1631107380|1631107404|24000|2021/09/08:18:53:00|2021/09/08:18:53:24|0h 0m 24s|dataGen_refresh|run_query|0|SUCCESS|0
1631107407|1631107476|69000|2021/09/08:18:53:27|2021/09/08:18:54:36|0h 1m 9s|Load data|1|Load data|0|FAILED|64||
1631179708|1631179766|58000|2021/09/09:14:58:28|2021/09/09:14:59:26|0h 0m 58s|dataGen_base|1|run_query|0|SUCCESS|0||
1631179766|1631179787|21000|2021/09/09:14:59:26|2021/09/09:14:59:47|0h 0m 21s|dataGen_refresh|run_query|0|SUCCESS|0
1631179790|1631180308|518000|2021/09/09:14:59:50|2021/09/09:15:08:28|0h 8m 38s|Load data|1|Load data|0|SUCCESS|0||
1631180320|1631180433|113000|2021/09/09:15:08:40|2021/09/09:15:10:33|0h 1m 53s|q01|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|45
1631180446|1631180515|69000|2021/09/09:15:10:46|2021/09/09:15:11:55|0h 1m 9s|q02|1|engine_validation_power_test|0|FAILED|32|EMPTY|0
1631180529|1631180644|115000|2021/09/09:15:12:09|2021/09/09:15:14:04|0h 1m 55s|q03|1|engine_validation_power_test|0|FAILED|32|EMPTY|0
1631180656|1631180666|10000|2021/09/09:15:14:16|2021/09/09:15:14:26|0h 0m 10s|q04|1|engine_validation_power_test|0|FAILED|64|EMPTY|0
1631180678|1631180710|32000|2021/09/09:15:14:38|2021/09/09:15:15:10|0h 0m 32s|q05|1|engine_validation_power_test|0|FAILED|2|EMPTY|0
1631180722|1631180862|140000|2021/09/09:15:15:22|2021/09/09:15:17:42|0h 2m 20s|q06|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|6973
1631180877|1631181071|194000|2021/09/09:15:17:57|2021/09/09:15:21:11|0h 3m 14s|q07|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|70
1631181084|1631181220|136000|2021/09/09:15:21:24|2021/09/09:15:23:40|0h 2m 16s|q08|1|engine_validation_power_test|0|FAILED|32|EMPTY|0
1631181234|1631181286|52000|2021/09/09:15:23:54|2021/09/09:15:24:46|0h 0m 52s|q09|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|5
1631181778|1631181878|100000|2021/09/09:15:32:58|2021/09/09:15:34:38|0h 1m 40s|dataGen_base|1|run_query|0|SUCCESS|0||
1631181878|1631181901|23000|2021/09/09:15:34:38|2021/09/09:15:35:01|0h 0m 23s|dataGen_refresh|run_query|0|SUCCESS|0
1631181904|1631182401|497000|2021/09/09:15:35:04|2021/09/09:15:43:21|0h 8m 17s|Load data|1|Load data|0|SUCCESS|0||
1631182412|1631182520|108000|2021/09/09:15:43:32|2021/09/09:15:45:20|0h 1m 48s|q01|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|45
1631182532|1631182592|60000|2021/09/09:15:45:32|2021/09/09:15:46:32|0h 1m 0s|q02|1|engine_validation_power_test|0|FAILED|32|EMPTY|0
1631182605|1631182661|56000|2021/09/09:15:46:45|2021/09/09:15:47:41|0h 0m 56s|q03|1|engine_validation_power_test|0|FAILED|32|EMPTY|0
1631182673|1631182683|10000|2021/09/09:15:47:53|2021/09/09:15:48:03|0h 0m 10s|q04|1|engine_validation_power_test|0|FAILED|64|EMPTY|0
1631182695|1631182727|32000|2021/09/09:15:48:15|2021/09/09:15:48:47|0h 0m 32s|q05|1|engine_validation_power_test|0|FAILED|2|EMPTY|0
1631182739|1631182873|134000|2021/09/09:15:48:59|2021/09/09:15:51:13|0h 2m 14s|q06|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|6973
1631182885|1631183063|178000|2021/09/09:15:51:25|2021/09/09:15:54:23|0h 2m 58s|q07|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|70
1631183075|1631183152|77000|2021/09/09:15:54:35|2021/09/09:15:55:52|0h 1m 17s|q08|1|engine_validation_power_test|0|FAILED|32|EMPTY|0
1631183164|1631183208|44000|2021/09/09:15:56:04|2021/09/09:15:56:48|0h 0m 44s|q09|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|5
1631183220|1631183349|129000|2021/09/09:15:57:00|2021/09/09:15:59:09|0h 2m 9s|q10|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|50344544
1631183361|1631183460|99000|2021/09/09:15:59:21|2021/09/09:16:01:00|0h 1m 39s|q11|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|10
1631183472|1631183592|120000|2021/09/09:16:01:12|2021/09/09:16:03:12|0h 2m 0s|q12|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|2361
1631183604|1631183736|132000|2021/09/09:16:03:24|2021/09/09:16:05:36|0h 2m 12s|q13|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|3035
1631183748|1631183791|43000|2021/09/09:16:05:48|2021/09/09:16:06:31|0h 0m 43s|q14|1|engine_validation_power_test|0|SUCCESS|0|HAS_RESULT|7
